ep,seed,success,category,init_x,init_y,final_x,final_y,final_z,frame_x,frame_y,xy_dist,z_margin,max_lift_delta,lifted_ever,success_ever,final_phase
1,20001,False,pick_lift_fail,0.486226970803375,0.035360820362034036,0.4829519108732702,0.04079214394658025,1.0249931689659983,0.47,0.15,0.10997321409804109,0.019993168965998454,0.001888031040485405,False,False,move_preplace
2,20002,True,success,0.5505745377918965,-0.05738409797493881,0.488983359613501,0.1608343887960738,1.0348922445797921,0.47,0.15,0.021857536979266234,0.029892244579792226,0.1068848105486182,True,True,done
3,20003,True,success,0.5112793740987902,-0.010426723930367088,0.48472953678335334,0.14988108516626722,1.0348922445665931,0.47,0.15,0.014730016788511872,0.02989224456659323,0.10638773654982048,True,True,done
4,20004,False,pick_lift_fail,0.5387775185472695,0.016919749131488287,0.6100862817103452,-0.11315041412633936,1.0249931689659983,0.47,0.15,0.2981145866580401,0.019993168965998454,0.013700957730281127,False,False,move_release
5,20005,True,success,0.5145599115624737,-0.025034387981481273,0.4813438938896715,0.1538344553409502,1.0348922445796807,0.47,0.15,0.011974430105097656,0.02989224457968076,0.10619949206643886,True,True,done
6,20006,True,success,0.4975161176560531,-0.05151234907797297,0.48461214712211653,0.14538422328567147,1.0348922445761444,0.47,0.15,0.01532384541147935,0.029892244576144478,0.10880684055674528,True,True,done
7,20007,True,success,0.553579563569466,-0.034598744639487485,0.4830954597962364,0.13999588522928685,1.0348922442366613,0.47,0.15,0.01647948359689847,0.02989224423666137,0.11313598717150186,True,True,done
8,20008,True,success,0.5631813414527421,0.0200303831571985,0.4885445591762272,0.16265314012902377,1.0348922445797122,0.47,0.15,0.02245000289900437,0.02989224457971229,0.10981697806128854,True,True,done
9,20009,True,success,0.5114806110968011,-0.013607194573201514,0.481333177311412,0.14797712967645432,1.0348922445742292,0.47,0.15,0.011512293964183955,0.029892244574229343,0.11070823455788092,True,True,done
10,20010,True,success,0.5416882582579333,-0.04951968339696892,0.4902439665720801,0.15076612857126612,1.0348922445797606,0.47,0.15,0.020258458370744973,0.029892244579760696,0.1036302297172722,True,True,done
11,20011,True,success,0.4879607240099943,-0.02648276548331414,0.4812667817178606,0.153210413224095,1.034892244577105,0.47,0.15,0.01171525174067387,0.029892244577105043,0.10419910739785543,True,True,done
12,20012,True,success,0.4827787657672737,-0.01874352746872062,0.4734567607367809,0.15124916787805603,1.0348922445702287,0.47,0.15,0.003675542841393252,0.029892244570228765,0.10158012994297705,True,True,done
