config,seed,success,category,init_x,init_y,xy_dist,z_margin,max_lift_delta,lifted_ever,success_ever,final_phase,residual_active
base_no_residual,20001,False,pick_lift_fail,0.486226970803375,0.035360820362034036,0.10997321409804109,0.019993168965998454,0.001888031040485405,False,False,move_preplace,False
base_no_residual,20002,True,success,0.5505745377918965,-0.05738409797493881,0.021857536979266234,0.029892244579792226,0.1068848105486182,True,True,done,False
base_no_residual,20003,True,success,0.5112793740987902,-0.010426723930367088,0.014730016788511872,0.02989224456659323,0.10638773654982048,True,True,done,False
base_no_residual,20004,False,pick_lift_fail,0.5387775185472695,0.016919749131488287,0.2981145866580401,0.019993168965998454,0.013700957730281127,False,False,move_release,False
base_no_residual,20005,True,success,0.5145599115624737,-0.025034387981481273,0.011974430105097656,0.02989224457968076,0.10619949206643886,True,True,done,False
base_no_residual,20006,True,success,0.4975161176560531,-0.05151234907797297,0.01532384541147935,0.029892244576144478,0.10880684055674528,True,True,done,False
base_no_residual,20007,True,success,0.553579563569466,-0.034598744639487485,0.01647948359689847,0.02989224423666137,0.11313598717150186,True,True,done,False
base_no_residual,20008,True,success,0.5631813414527421,0.0200303831571985,0.02245000289900437,0.02989224457971229,0.10981697806128854,True,True,done,False
base_no_residual,20009,True,success,0.5114806110968011,-0.013607194573201514,0.011512293964183955,0.029892244574229343,0.11070823455788092,True,True,done,False
base_no_residual,20010,True,success,0.5416882582579333,-0.04951968339696892,0.020258458370744973,0.029892244579760696,0.1036302297172722,True,True,done,False
base_no_residual,20011,True,success,0.4879607240099943,-0.02648276548331414,0.01171525174067387,0.029892244577105043,0.10419910739785543,True,True,done,False
base_no_residual,20012,True,success,0.4827787657672737,-0.01874352746872062,0.003675542841393252,0.029892244570228765,0.10158012994297705,True,True,done,False
base_no_residual,20013,True,success,0.5524741676709732,0.03559140975267427,0.039433262134068524,0.029892244579780458,0.10188409668522969,True,True,done,False
base_no_residual,20014,True,success,0.5539767445600826,-0.012172428418734112,0.014914526642016538,0.029892244572720772,0.11627936251149729,True,True,done,False
base_no_residual,20015,False,pick_lift_fail,0.5345723332486214,0.039414843443562754,0.10380902383415629,0.019993168965998454,0.007757946735529542,False,False,done,False
base_no_residual,20016,True,success,0.5196210099979939,-0.0554805518433347,0.022515241315840786,0.0298922445775196,0.1003266940756582,True,True,done,False
base_no_residual,20017,True,success,0.5216274558748167,0.021871633923301725,0.019458144039864952,0.02989217120252685,0.10928968853921739,True,True,done,False
base_no_residual,20018,True,success,0.5153876303002997,-0.006235182375920769,0.012515821242190493,0.029892244578801908,0.10748672237713874,True,True,done,False
base_no_residual,20019,True,success,0.4896965211600334,-0.014717370932963238,0.015391731640764355,0.029892244572852444,0.0990777902019171,True,True,done,False
base_no_residual,20020,True,success,0.5134650170102072,0.006615026403199064,0.017517143673565567,0.029892244560498993,0.10277281494627943,True,True,done,False
base_no_residual,20021,True,success,0.4991980901256954,-0.022231183648717436,0.014257799356295899,0.029892244578883842,0.10052792234301178,True,True,done,False
base_no_residual,20022,True,success,0.5217388845850612,0.03211523437108114,0.03417125460565989,0.029892244578819893,0.11570136392807018,True,True,done,False
base_no_residual,20023,True,success,0.5511715956754867,0.03614689069950656,0.032657729550429344,0.02989224457963746,0.09938745493944534,True,True,done,False
base_no_residual,20024,False,pick_lift_fail,0.4817351864766834,0.04681249650851919,0.11060640863848596,0.019993168965998454,0.0030826538127359804,False,False,move_preplace,False
base_no_residual,20025,True,success,0.5220418002900109,-0.045397109042044505,0.021080366689899883,0.029892244127577072,0.10583209959406492,True,True,done,False
