config,seed,success,category,init_x,init_y,final_x,final_y,final_z,frame_x,frame_y,frame_z,xy_dist,z_margin,max_lift_delta,lifted_ever,success_ever,final_phase
base_no_residual,20001,False,pick_lift_fail,0.486226970803375,0.035360820362034036,0.4829519108732702,0.04079214394658025,1.0249931689659983,0.47,0.15,1.005,0.10997321409804109,0.019993168965998454,0.001888031040485405,False,False,move_preplace
base_no_residual,20002,True,success,0.5505745377918965,-0.05738409797493881,0.488983359613501,0.1608343887960738,1.0348922445797921,0.47,0.15,1.005,0.021857536979266234,0.029892244579792226,0.1068848105486182,True,True,done
base_no_residual,20003,True,success,0.5112793740987902,-0.010426723930367088,0.48472953678335334,0.14988108516626722,1.0348922445665931,0.47,0.15,1.005,0.014730016788511872,0.02989224456659323,0.10638773654982048,True,True,done
base_no_residual,20004,False,pick_lift_fail,0.5387775185472695,0.016919749131488287,0.6100862817103452,-0.11315041412633936,1.0249931689659983,0.47,0.15,1.005,0.2981145866580401,0.019993168965998454,0.013700957730281127,False,False,move_release
base_no_residual,20005,True,success,0.5145599115624737,-0.025034387981481273,0.4813438938896715,0.1538344553409502,1.0348922445796807,0.47,0.15,1.005,0.011974430105097656,0.02989224457968076,0.10619949206643886,True,True,done
base_no_residual,20006,True,success,0.4975161176560531,-0.05151234907797297,0.48461214712211653,0.14538422328567147,1.0348922445761444,0.47,0.15,1.005,0.01532384541147935,0.029892244576144478,0.10880684055674528,True,True,done
base_no_residual,20007,True,success,0.553579563569466,-0.034598744639487485,0.4830954597962364,0.13999588522928685,1.0348922442366613,0.47,0.15,1.005,0.01647948359689847,0.02989224423666137,0.11313598717150186,True,True,done
base_no_residual,20008,True,success,0.5631813414527421,0.0200303831571985,0.4885445591762272,0.16265314012902377,1.0348922445797122,0.47,0.15,1.005,0.02245000289900437,0.02989224457971229,0.10981697806128854,True,True,done
base_no_residual,20009,True,success,0.5114806110968011,-0.013607194573201514,0.481333177311412,0.14797712967645432,1.0348922445742292,0.47,0.15,1.005,0.011512293964183955,0.029892244574229343,0.11070823455788092,True,True,done
base_no_residual,20010,True,success,0.5416882582579333,-0.04951968339696892,0.4902439665720801,0.15076612857126612,1.0348922445797606,0.47,0.15,1.005,0.020258458370744973,0.029892244579760696,0.1036302297172722,True,True,done
base_no_residual,20011,True,success,0.4879607240099943,-0.02648276548331414,0.4812667817178606,0.153210413224095,1.034892244577105,0.47,0.15,1.005,0.01171525174067387,0.029892244577105043,0.10419910739785543,True,True,done
base_no_residual,20012,True,success,0.4827787657672737,-0.01874352746872062,0.4734567607367809,0.15124916787805603,1.0348922445702287,0.47,0.15,1.005,0.003675542841393252,0.029892244570228765,0.10158012994297705,True,True,done
base_no_residual,20013,True,success,0.5524741676709732,0.03559140975267427,0.5021637083459406,0.17281398755087396,1.0348922445797804,0.47,0.15,1.005,0.039433262134068524,0.029892244579780458,0.10188409668522969,True,True,done
base_no_residual,20014,True,success,0.5539767445600826,-0.012172428418734112,0.48489995976946654,0.1506590173166913,1.0348922445727207,0.47,0.15,1.005,0.014914526642016538,0.029892244572720772,0.11627936251149729,True,True,done
base_no_residual,20015,False,pick_lift_fail,0.5345723332486214,0.039414843443562754,0.5007995614691296,0.05086524099636024,1.0249931689659983,0.47,0.15,1.005,0.10380902383415629,0.019993168965998454,0.007757946735529542,False,False,done
base_no_residual,20016,True,success,0.5196210099979939,-0.0554805518433347,0.4892957709818368,0.16160212539697136,1.0348922445775195,0.47,0.15,1.005,0.022515241315840786,0.0298922445775196,0.1003266940756582,True,True,done
base_no_residual,20017,True,success,0.5216274558748167,0.021871633923301725,0.4647774628373534,0.16874418509994252,1.0348921712025267,0.47,0.15,1.005,0.019458144039864952,0.02989217120252685,0.10928968853921739,True,True,done
base_no_residual,20018,True,success,0.5153876303002997,-0.006235182375920769,0.4811302612830075,0.1557239029637521,1.0348922445788018,0.47,0.15,1.005,0.012515821242190493,0.029892244578801908,0.10748672237713874,True,True,done
base_no_residual,20019,True,success,0.4896965211600334,-0.014717370932963238,0.4827559119746936,0.15861348434695127,1.0348922445728523,0.47,0.15,1.005,0.015391731640764355,0.029892244572852444,0.0990777902019171,True,True,done
base_no_residual,20020,True,success,0.5134650170102072,0.006615026403199064,0.48023638594391743,0.16421501759715784,1.0348922445604989,0.47,0.15,1.005,0.017517143673565567,0.029892244560498993,0.10277281494627943,True,True,done
base_no_residual,20021,True,success,0.4991980901256954,-0.022231183648717436,0.48182271980523533,0.15796919938835058,1.0348922445788837,0.47,0.15,1.005,0.014257799356295899,0.029892244578883842,0.10052792234301178,True,True,done
base_no_residual,20022,True,success,0.5217388845850612,0.03211523437108114,0.49483307835554885,0.1734732371161713,1.0348922445788198,0.47,0.15,1.005,0.03417125460565989,0.029892244578819893,0.11570136392807018,True,True,done
base_no_residual,20023,True,success,0.5511715956754867,0.03614689069950656,0.4998037817170144,0.1633514753774084,1.0348922445796374,0.47,0.15,1.005,0.032657729550429344,0.02989224457963746,0.09938745493944534,True,True,done
base_no_residual,20024,False,pick_lift_fail,0.4817351864766834,0.04681249650851919,0.49237432073885984,0.04168025386210338,1.0249931689659983,0.47,0.15,1.005,0.11060640863848596,0.019993168965998454,0.0030826538127359804,False,False,move_preplace
base_no_residual,20025,True,success,0.5220418002900109,-0.045397109042044505,0.4894518288744069,0.14187545612225344,1.034892244127577,0.47,0.15,1.005,0.021080366689899883,0.029892244127577072,0.10583209959406492,True,True,done
base_no_residual,20026,True,success,0.5096079359959667,0.010749883849055564,0.4876861884403916,0.1529351396505039,1.0348922445707942,0.47,0.15,1.005,0.01792808707913373,0.029892244570794313,0.10670168410312897,True,True,done
base_no_residual,20027,True,success,0.5213486785792165,0.0016679306057490427,0.476266319528145,0.15540034751971243,1.0348922444900914,0.47,0.15,1.005,0.008272273796392154,0.029892244490091535,0.12081218208453448,True,True,done
base_no_residual,20028,True,success,0.4962405961783344,0.019281531345244667,0.48479776840367267,0.1536609142343745,1.0348922445772089,0.47,0.15,1.005,0.015243891982042507,0.02989224457720896,0.10413844959869056,True,True,done
base_no_residual,20029,True,success,0.49293833197632814,-0.04737600355976009,0.4838588825208494,0.14600576129968457,1.0348922445793982,0.47,0.15,1.005,0.014422987468683576,0.02989224457939832,0.10776107761099407,True,True,done
base_no_residual,20030,True,success,0.51245364827356,0.006822542829768349,0.48089707328516557,0.1518411015185005,1.0348922445796744,0.47,0.15,1.005,0.01105150944367757,0.029892244579674543,0.10638302620390916,True,True,done
base_no_residual,20031,True,success,0.5497571934389812,0.021979332413977478,0.4836832780640159,0.1609244762696076,1.0348922445794766,0.47,0.15,1.005,0.017509319813813415,0.0298922445794767,0.11432028435279418,True,True,done
base_no_residual,20032,True,success,0.5099871626071145,-0.031955100136249755,0.4805170374126783,0.16732938986198131,1.0348922430829384,0.47,0.15,1.005,0.020271058900023377,0.029892243082938474,0.10359817020657291,True,True,done
base_no_residual,20033,True,success,0.5362543194201437,-0.02708771601743008,0.4835697802872289,0.14831347527642075,1.034892244556516,0.47,0.15,1.005,0.013674183803317518,0.02989224455651618,0.10617458319232709,True,True,done
base_no_residual,20034,True,success,0.4800301736155342,-0.004286986081570545,0.4824892786336297,0.16053848260551185,1.0348922445764668,0.47,0.15,1.005,0.016341410478141614,0.029892244576466886,0.10344623274877818,True,True,done
base_no_residual,20035,True,success,0.537426650932211,-0.027525271189875963,0.4848806924084111,0.1481725881213444,1.034892244579264,0.47,0.15,1.005,0.01499247947232197,0.029892244579264204,0.10584879341246012,True,True,done
base_no_residual,20036,False,pick_lift_fail,0.5457252335243907,0.055752990589755205,0.5609088793028775,0.05191313704755257,1.0249931689659983,0.47,0.15,1.005,0.13373652089073257,0.019993168965998454,0.003227919908535437,False,False,move_preplace
base_no_residual,20037,True,success,0.5695127371383416,-0.02312053544436701,0.49128710185344204,0.15290247554071473,1.0348922445716993,0.47,0.15,1.005,0.021484065480799116,0.029892244571699367,0.11197461372652029,True,True,done
base_no_residual,20038,True,success,0.5544468399763994,-0.045968247112806594,0.48418454216444184,0.15931339485014834,1.0348922445795559,0.47,0.15,1.005,0.016968811391773996,0.02989224457955597,0.11012567935382678,True,True,done
base_no_residual,20039,True,success,0.5565295086690115,0.002977035369992911,0.48108037382587976,0.15639086195938723,1.0348922445797488,0.47,0.15,1.005,0.012791317395217144,0.029892244579748928,0.10644793308566891,True,True,done
