attempt_index,seed,cube_x,cube_y,pick_success,place_success,lift_delta,final_lift_delta,xy_dist,z_margin,num_success_so_far
1,40002,0.5393383440115836,0.027620791808659374,True,True,0.10130577332106316,0.10130577332106316,0.03608476332596499,0.029892244579782457,1
2,40003,0.5388521713057646,0.04235251790832288,True,True,0.09952519413120675,0.09952519413120675,0.04548884233063296,0.029892244579782457,2
3,40004,0.5060880171967614,0.07693884553349356,False,False,1.296630580682745e-09,1.296630580682745e-09,0.09857926595021561,0.019993168965998454,2
4,40005,0.5313018992282784,0.05840761102021717,False,False,0.0,0.0,0.10893137515672015,0.019993168965998454,2
5,40006,0.5322814315040559,0.03587843030569178,True,True,0.10035282542826351,0.10035282542826351,0.03393188173554881,0.043696097623747265,3
6,40007,0.5490526831930111,0.052350519016889585,True,True,0.09662627435454274,0.0965189872087957,0.038963903420953516,0.029892244579782457,4
7,40008,0.5362079548580573,0.042226634952020975,True,True,0.09890599228355956,0.09890599228355956,0.04631353529849926,0.029892244579782457,5
8,40009,0.527953284876329,0.07478444226924871,True,True,0.09966635778408661,0.09966635778408661,0.025186200126128055,0.029892244579782457,6
9,40010,0.5068896525222139,0.0204554872427883,True,True,0.10111580910922058,0.10111580910922058,0.03842687458728673,0.029892244579782457,7
10,40011,0.5035952953851213,0.030250935153882233,True,True,0.09504588563845551,0.09504588563845551,0.016719813141833323,0.029892244579782457,8
11,40012,0.5187486381016797,0.03470475110877823,True,True,0.10254916678014947,0.10254916678014947,0.04194884617944091,0.029892244579782457,9
12,40013,0.4989352795121018,0.032224249003464114,True,True,0.09986579411401464,0.09986579411401464,0.02414240065994653,0.029892244579782457,10
13,40014,0.5338542501045901,0.0761031510745512,False,False,7.773781618425346e-13,7.773781618425346e-13,0.1168620116426465,0.019993168965998454,10
14,40015,0.5367638563999115,0.02269181056279403,True,True,0.0956091384076736,0.0937331955616505,0.023223386179908784,0.029892244579782457,11
15,40016,0.5193979148036544,0.042492543955161055,True,True,0.10281192017669705,0.10281192017669705,0.04494462848771485,0.029892244579782457,12
16,40017,0.49060257725924233,0.03670164942488708,True,True,0.09995862577662118,0.09995862577662118,0.03822436483447632,0.029892244579782457,13
17,40018,0.4939448142610841,0.03044509578496657,True,True,0.0978501086264616,0.0978501086264616,0.03874380589431181,0.029892244579782457,14
18,40019,0.5348759241205033,0.05098596250032274,True,True,0.09854027406069177,0.09854027406069177,0.024104872081506176,0.029892244579782457,15
19,40020,0.516940589601468,0.076764550992254,True,True,0.09378919771473848,0.09378919771473848,0.017759142120644448,0.029892244579782457,16
20,40021,0.5061609998547194,0.03204264074243144,True,True,0.09531743228355016,0.09531743228355016,0.027864907691206253,0.029892244579782457,17
21,40022,0.5162936665165835,0.06286848743724371,False,False,0.0,0.0,0.10759195976251326,0.019993168965998454,17
22,40023,0.5480560716779986,0.042746340545740794,True,True,0.09893140799386568,0.09893140799386568,0.02293414963011726,0.029892244579782457,18
23,40024,0.5085954698415525,0.06959905307803244,True,True,0.09984922120136064,0.09984922120136064,0.024882238586141345,0.029892244579782457,19
24,40025,0.5252154555457059,0.04289408327814448,True,True,0.10094645207862407,0.10094645207862407,0.04480958994619198,0.029892244579782457,20
25,40026,0.5099781572531812,0.0716212998819191,True,True,0.10103668270546473,0.10103591173648008,0.04493337225220607,0.029892244579782457,21
26,40027,0.5279781489610179,0.07303142578120983,True,True,0.0999267735927154,0.0999267735927154,0.04456181611423503,0.029892244579782457,22
27,40028,0.543026135470554,0.02324743413897949,True,True,0.09820583365900504,0.09820583365900504,0.043389555021958154,0.029892244579782457,23
28,40029,0.5162055505419814,0.021800703545862436,True,True,0.10076845559477832,0.10076845559477832,0.04561767352286845,0.029892244579782457,24
29,40030,0.5269620206835163,0.060621410870581954,False,False,0.0,0.0,0.10873847231179827,0.019993168965998454,24
30,40031,0.5374137882971076,0.06711615184174309,True,True,0.0996391499632936,0.0996391499632936,0.023188419563005633,0.029892244579782457,25
31,40032,0.5041938264535347,0.037383825896737416,True,True,0.10012474576484709,0.10012474576484709,0.044418636186888176,0.029892244579782457,26
32,40033,0.5321891188537243,0.02376571866254374,True,True,0.09933758977209073,0.09933758977209073,0.0463815679939695,0.029892244579782457,27
33,40034,0.5157759748348021,0.0476355758794657,True,True,0.1003291924103018,0.1003291924103018,0.04319222800219524,0.02989224457979822,28
34,40035,0.5258065331383919,0.06087095045588145,False,False,0.0,0.0,0.1086688232571296,0.019993168965998454,28
35,40036,0.5301711973275535,0.07537444965578524,False,False,1.0973666419999972e-11,1.0973666419999972e-11,0.11283329832649892,0.019993168965998454,28
36,40037,0.49108446583187604,0.02900520843961894,True,True,0.09981203396440352,0.09981203396440352,0.037870557528643774,0.029892244579782457,29
37,40038,0.5372055687775656,0.07813218723451758,True,True,0.09940482464872047,0.09940482464872047,0.022776393322734442,0.029892244579782457,30
38,40039,0.5339074900212329,0.03182789893968429,True,True,0.10027920086847208,0.10008320595973141,0.02400904684609687,0.029892244579782457,31
39,40040,0.537571377874619,0.06518701456187136,True,True,0.09030649293360637,0.09020031181752719,0.04503174363735022,0.029892244579782457,32
40,40041,0.5294474563329575,0.04867045266292767,True,True,0.09861384129359352,0.09747147851403959,0.02427090078525743,0.029892244579782457,33
41,40042,0.5466374636019394,0.024202632264441613,True,True,0.09877574567819947,0.09877574567819947,0.028455168260302494,0.029892244579782457,34
42,40043,0.5315333053232998,0.061744216390550735,False,False,0.0,0.0,0.11512304534476314,0.019993168965998454,34
43,40044,0.5363056460722134,0.05114773499759506,True,True,0.09786546500554594,0.09786546500554594,0.02371594804606591,0.029892244579782457,35
44,40045,0.4944629357590392,0.07229009307579226,True,True,0.09484764448095473,0.09484764448095473,0.018660141336960468,0.029892244579782457,36
45,40046,0.5046045982165958,0.0798704762202769,False,False,6.100802702402319e-05,6.100802702402319e-05,0.09738138902574217,0.019993168965998454,36
46,40047,0.5020114884123146,0.06395011945306485,True,True,0.097453206395538,0.097453206395538,0.0278243412154975,0.029892244579782457,37
47,40048,0.4968936614586419,0.05714700551451862,False,False,1.9657830918617947e-11,1.7763568394002505e-15,0.0940064687315979,0.01999316896600023,37
48,40049,0.5066356764136752,0.047583219270927485,True,True,0.0979376377893002,0.0979376377893002,0.047564712206902934,0.04142520883135181,38
49,40050,0.5491354004105273,0.07626465389598486,False,False,8.881784197001252e-15,8.881784197001252e-15,0.14051062295736144,0.019993168965998454,38
50,40051,0.5353415964899246,0.0567715403961713,False,False,0.0,0.0,0.11322544143193874,0.019993168965998454,38
51,40052,0.504920979936164,0.04670249912346358,True,True,0.09961711731154144,0.09961711731154144,0.02412800625466955,0.029892244579782457,39
52,40053,0.5077725248960718,0.06368567097719625,True,True,0.0938982495592735,0.0938982495592735,0.020192271961398174,0.029892244579782457,40
53,40054,0.5022889610403647,0.02081579491607493,True,True,0.0949237122932789,0.0949237122932789,0.017253576040669533,0.029892244579782457,41
54,40055,0.5417188079373187,0.042189019757288705,True,True,0.09871852842382522,0.09853422444781668,0.024409306400747097,0.029892244579782457,42
55,40056,0.5178693382692172,0.038394632416046584,True,True,0.10073456918918389,0.10073456918918389,0.02400367790598403,0.029892244579782457,43
56,40057,0.542147732275304,0.04029350151652672,True,True,0.09783698673211583,0.09783698673211583,0.041567896094965515,0.029892244579782457,44
57,40058,0.5299729677344521,0.06265591975896687,False,False,0.0,0.0,0.11499645757130979,0.019993168965998454,44
58,40059,0.4989290464806426,0.029409491647490855,True,True,0.09600526738902371,0.09600526738902371,0.03143501987709829,0.029892244579782457,45
59,40060,0.49310110999801343,0.042049411132800196,True,True,0.10144623040988177,0.10144623040988177,0.0368569832394737,0.029892244579782457,46
60,40061,0.5048642886258718,0.04098265850187958,True,True,0.0927646425652795,0.0927646425652795,0.03527513109566438,0.029892244579782457,47
61,40062,0.5328531520659915,0.06473933810764602,True,True,0.09332531279836753,0.09329203299032951,0.04521940745923546,0.029892244579782457,48
62,40063,0.5339572127991031,0.05184811627611513,False,False,0.0,0.0,0.11716073521256469,0.019993168965998454,48
63,40064,0.5266013910888611,0.07971548024058805,False,False,0.0,-0.0010378187550623696,0.10910681674683095,0.019993168965998454,48
64,40065,0.5432624315516252,0.06757767359082603,True,True,0.09692196189912705,0.0968920371961477,0.02509257001941532,0.029892244579782457,49
65,40066,0.5424677748564906,0.027598135416669226,True,True,0.09898453997468826,0.09896281047720912,0.02305798054615496,0.029892244579782457,50
66,40067,0.5436829577542885,0.022580760570231857,True,True,0.09721303361119138,0.09700525241114555,0.023154725458974772,0.029892244579782457,51
67,40068,0.5330559269698882,0.03665797619824248,True,True,0.09758701213426413,0.09754863890158116,0.04362431631323974,0.029892244579782457,52
68,40069,0.5334769780437455,0.05633182902097908,False,False,0.0,0.0,0.1121398088078224,0.019993168965998454,52
69,40070,0.5117583704876029,0.02964589213644913,True,True,0.10069543658135238,0.10069543658135238,0.02382469082877521,0.029892244579782457,53
