index,seed,cube_x,cube_y,success,episode_length,lift_delta,xy_dist,z_margin,total_samples
1,40002,0.5393383502960205,0.027620792388916016,True,203,0.09965055497360886,0.04034604571949182,0.029892244579782457,203
2,40003,0.5388521552085876,0.04235251620411873,True,203,0.10049837169963727,0.024054190982988152,0.029892244579782457,406
3,40006,0.5322814583778381,0.03587843105196953,True,203,0.10027809984444658,0.024186720112877466,0.029892244579782457,609
4,40007,0.5490526556968689,0.052350517362356186,True,203,0.09620891843955026,0.044963482305588165,0.029892244579782457,812
5,40008,0.5362079739570618,0.0422266349196434,True,203,0.09896396050415412,0.02409755723441315,0.029892244579782457,1015
6,40009,0.5279532670974731,0.07478444278240204,True,203,0.09935697201861671,0.043815603618684126,0.029892244579782457,1218
7,40010,0.5068896412849426,0.020455487072467804,True,203,0.09542412494513508,0.0381812782202362,0.029892244579782457,1421
8,40011,0.5035952925682068,0.03025093488395214,True,203,0.09586101097022937,0.016569481689884414,0.029892244579782457,1624
9,40012,0.5187486410140991,0.03470475226640701,True,203,0.10248303837326356,0.022786041522987403,0.029892244579782457,1827
10,40013,0.4989352822303772,0.032224249094724655,True,203,0.09543200558284193,0.03796449261404301,0.029892244579782457,2030
11,40015,0.5367638468742371,0.022691810503602028,True,203,0.09870730069615674,0.0243384568540889,0.029892244579782457,2233
12,40016,0.5193979144096375,0.042492542415857315,True,203,0.10374514943502677,0.024244911797191567,0.029892244579782457,2436
13,40017,0.4906025826931,0.03670164942741394,True,203,0.1011204557841403,0.02155081341703396,0.029892244579782457,2639
14,40018,0.49394482374191284,0.030445095151662827,True,203,0.09784339680932486,0.020127907345328058,0.029892244579782457,2842
15,40019,0.5348759293556213,0.05098596215248108,True,203,0.09930404369889279,0.02419735434017366,0.029892244579782457,3045
16,40020,0.5169405937194824,0.0767645537853241,True,203,0.09916103284649913,0.017888050797028075,0.029892244579782457,3248
17,40021,0.5061609745025635,0.03204264119267464,True,203,0.10166564382371468,0.03756889421347131,0.029892244579782457,3451
18,40023,0.5480560660362244,0.04274633899331093,True,203,0.09438480834115537,0.02476915775136732,0.029892244579782457,3654
19,40024,0.5085954666137695,0.06959905475378036,True,203,0.10191449683031917,0.03739073981078138,0.029892244579778016,3857
20,40025,0.5252154469490051,0.04289408400654793,True,203,0.09992710911795855,0.03824944415241873,0.029892244579782457,4060
21,40026,0.509978175163269,0.07162129878997803,True,203,0.10148238443973168,0.033909401030106694,0.029892244579782457,4263
22,40027,0.5279781222343445,0.07303142547607422,True,203,0.09940384159870042,0.023073621187184423,0.029892244579782457,4466
23,40028,0.5430261492729187,0.023247433826327324,True,203,0.0988886233725299,0.02312472639790353,0.029892244579782457,4669
24,40029,0.5162055492401123,0.021800704300403595,True,203,0.09927215911098886,0.03776486351722464,0.029892244579782457,4872
